@relation cycleaccident-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute year {2011,2012,2013,2014,2015}
@attribute location {notatjunction,atjunction}
@attribute settlement {urban,village,rural}
@attribute time {nighttime,daytime}
@attribute road {straightandflat,curvedandinclined}
@attribute partner {car,hgv,bus,motorcycle,pickup,bicycle,other}
@attribute surface {tarredwithpotholes,untarred,tarredandgood}
@attribute day {weekend,weekday}
@attribute weather {clear,other}
@attribute shoulder {good,poor,noshoulder}
@attribute separation {median,nomedian}
@attribute control {signage,none}
@attribute collision {sideswipe,rightangle,parkedvehicle,hitpedestrian,rearend,hitobjectoffrd,other,animal,headon,ranoffroad}
@attribute accident {fatal,hospitalized,injured,damage}

@data
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,rural,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,rural,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,rural,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,rural,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,urban,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,clear,good,median,signage,sideswipe,fatal
2011,atjunction,village,daytime,curvedandinclined,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,curvedandinclined,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,urban,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,untarred,weekday,clear,good,median,signage,rightangle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,urban,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,urban,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,notatjunction,village,nighttime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
2011,atjunction,village,daytime,straightandflat,car,tarredwithpotholes,weekend,other,good,nomedian,signage,parkedvehicle,fatal
